iter	Passed	Remaining
0	0	72
1	1	67
2	1	62
3	2	60
4	3	58
5	3	57
6	4	56
7	4	55
8	5	56
9	6	55
10	6	55
11	7	54
12	8	55
13	8	54
14	9	53
15	10	53
16	10	52
17	11	52
18	12	52
19	12	51
20	13	50
21	14	50
22	14	49
23	15	49
24	16	48
25	16	48
26	17	47
27	18	47
28	19	46
29	19	46
30	20	45
31	21	45
32	21	44
33	22	43
34	23	43
35	23	42
36	24	41
37	25	40
38	25	40
39	26	39
40	26	38
41	27	37
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	33
48	31	33
49	32	32
50	32	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	37	27
57	37	27
58	38	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	50	13
79	50	12
80	51	12
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	60	2
96	60	1
97	61	1
98	61	0
99	62	0
